percent, burned
1, 0.000299
2, 0.000299
3, 0.000300
4, 0.000300
5, 0.000180
6, 0.000333
7, 0.000486
8, 0.000375
9, 0.000233
10, 0.000270
11, 0.000318
12, 0.000350
13, 0.000323
14, 0.000257
15, 0.000353
16, 0.000356
17, 0.000241
18, 0.000322
19, 0.000368
20, 0.000420
21, 0.000386
22, 0.000368
23, 0.000383
24, 0.000362
25, 0.000376
26, 0.000527
27, 0.000411
28, 0.000614
29, 0.000476
30, 0.000570
31, 0.000458
32, 0.000509
33, 0.000688
34, 0.000535
35, 0.000651
36, 0.000536
37, 0.000584
38, 0.000697
39, 0.000569
40, 0.000785
41, 0.000846
42, 0.000914
43, 0.000907
44, 0.001086
45, 0.001058
46, 0.001031
47, 0.001011
48, 0.001261
49, 0.001435
50, 0.001176
51, 0.001849
52, 0.001685
53, 0.001572
54, 0.001917
55, 0.002684
56, 0.002422
57, 0.003178
58, 0.004155
59, 0.002775
60, 0.005013
61, 0.005833
62, 0.009538
63, 0.007405
64, 0.013707
65, 0.016559
66, 0.018935
67, 0.030260
68, 0.048232
69, 0.051035
70, 0.082033
